Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_dryeronwaterSMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Diameter Midpoint
 16.3,0,0,0,0,0,0,31.1058,31.1058,0,0,0,0,0,0
 16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,0,0,0,0,0,0,0,27.499,0,0,0,0,0
 18.1,0,25.913,0,25.913,0,0,0,0,0,0,25.913,0,0,0
 18.8,0,0,0,0,0,0,0,0,0,0,0,24.2931,0,0
 19.5,22.9342,0,0,0,0,0,0,22.9342,0,0,0,0,0,0
 20.2,0,21.6705,21.6705,65.0116,21.6705,0,0,0,0,0,0,0,0,0
 20.9,37.0197,0,12.0011,0,0,0,0,0,0,18.6147,0,18.7459,0,0
 21.7,12.7701,53.4977,1.61467,15.2041,15.334,36.059,0,0,0,0,0,0,0,17.7872
 22.5,0,47.8284,9.95766,28.9375,0,49.8757,0,0,0,0,0,15.574,31.6791,0
 23.3,24.1212,0,0.428086,0,87.4755,0,55.5919,7.01625,37.644,11.6637,28.0609,10.8226,30.1958,0
 24.1,77.2889,33.0139,0,53.809,30.7678,0,0,25.6354,16.2743,0,0,9.04381,12.2679,24.7053
 25.0,0,32.4656,107.02,24.4188,75.5518,62.1352,16.0148,14.5821,32.6032,20.4147,0,14.7201,28.8996,7.30471
