Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230410.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:01,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:01,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00
Diameter Midpoint
 16.3,0,0,0,35.506,35.5001,3926.67,745.909,141.643,35.5232,35.5698,71.1318,0,0,0,0,0,0,0,0,0,0,0,0,0
 16.8,0,33.1863,0,0,0,4489.4,1051.57,232.472,66.4206,99.7556,0,0,33.2831,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,31.1084,0,0,0,4752.96,1254.12,249.04,93.39,124.669,31.1641,0,0,31.1952,0,0,0,0,0,0,0,0,0,0
 18.1,29.198,0,29.1842,0,0,5597.75,1553.01,555.079,321.361,87.744,29.2452,29.262,29.2732,0,0,0,0,0,0,29.2999,0,0,0,0
 18.8,0,0,0,0,0,6651.94,1826.13,871.598,164.905,0,31.4146,0,82.6102,0,0,0,0,0,0,0,0,0,0,0
 19.5,21.9923,0,51.7191,0,25.8708,7509.51,2169.67,1112.69,402.506,259.112,99.9599,77.7674,103.726,0,73.9526,0,0,0,0,0,0,25.9499,0,0
 20.2,3.65662,0,24.3816,0,0,8388.42,2239.44,745.164,309.552,222.721,173.85,73.315,97.7864,24.4466,28.1279,48.9424,0,0,0,0,24.4528,0,0,0
 20.9,23.0219,0,0,0,23.0221,10121.2,3488.15,1255.43,473.415,345.127,78.9649,188.485,80.105,85.3891,39.4179,0,0,22.0421,0,0,0,0,0,0
 21.7,43.2029,0,0,21.6041,0,10174.6,3563.98,1180.4,464.194,470.969,239.264,62.4198,69.943,54.8362,14.5047,50.3319,14.4369,16.6381,0,40.0518,19.2402,19.2362,0,0
 22.5,0,0,20.4388,0,0,11543.6,4177.1,1524.93,626.028,430.428,70.0682,190.426,74.4383,24.0888,4.94668,18.1596,0,12.9826,34.8623,0,0,0,0,0
 23.3,19.3705,0,0,0,0,14007,5198.85,2052.64,866.669,542.709,280.081,223.978,150.666,129.697,40.5969,63.2317,29.8179,26.8235,10.9699,11.408,32.5187,15.576,0,0
 24.1,0,18.2929,0,0,0,14547.1,5615.59,2803.65,1218.42,480.123,476.938,268.767,133.575,50.5766,68.8746,57.105,13.3613,2.34476,20.2395,8.77285,7.26432,48.0965,0,0
 25.0,0,34.8249,0,17.4155,0,17908.9,6724.07,2649.87,1373.54,947.91,600.568,304.654,344.314,112.489,207.879,191.453,47.8574,101.456,35.2203,19.5492,5.11113,31.4312,0,29.0874
 25.9,0,0,0,0,0,19002.1,7942.7,3689.56,1979.04,1361.48,732.552,447.635,453.59,118.379,229.444,213.412,149.635,61.6808,41.5323,7.778,42.1768,59.0118,37.2943,40.9363
 26.9,15.5686,0,15.848,0,0,22786.7,9032.69,4124.66,2561,1561.67,854.971,613.81,329.78,240.579,274.124,43.5664,149.678,125.281,141.663,104.827,12.2879,56.8287,110.15,46.633
 27.9,0,14.7174,0,15.0279,0,24477.2,10874.2,5299.69,3089.95,1526.42,1220.91,739.03,606.092,392.207,336.754,140.774,159.403,122.377,78.9912,35.4538,73.3175,65.3437,57.0477,102.758
 28.9,14.3924,0,0,0,0,28015.1,12126.2,5745.98,3169.62,2115.12,1791.99,698.795,607.297,391.398,396.671,279.922,323.725,65.634,36.7606,99.775,9.53114,100.806,68.824,27.4899
 30.0,0,13.6884,0,0,0,27699.5,14059.4,7391.09,3965.68,2974.42,1488.65,1485.81,947.893,536.699,525.251,321.482,330.75,80.2554,180.448,138.302,143.995,105.222,19.3194,123.924
 31.1,0,0,0,0,0,34016.5,16400.5,9195.13,5092.11,3357.05,2275.52,1607.47,1110.89,675.72,473.503,423.139,484.633,341.048,270.624,220.273,160.805,162.917,139.687,129.071
 32.2,0,0,0,0,0,39419,18498,9598.58,5743.69,3391.5,2731,2056.8,1462.76,997.787,921.767,605.24,518.42,442.713,362.268,309.119,148.03,214.276,144.815,164.406
 33.4,0,0,0,0,0,41117.1,19845.7,11503.4,7177.62,4456.33,2969.41,2612.01,1471.56,1397.93,921.638,816.58,470.54,627.87,441.71,419.222,330.902,200.521,262.051,196.449
 34.6,11.513,0,11.2832,0,0,42964.9,22643.7,12791.5,8565.41,5306.78,4173.23,2536.5,2265.38,1855.67,1268,921.353,1089.81,742.041,766.522,441.422,515.577,319.208,355.248,177.734
 35.9,0,0,3.7739,0,0,47075.1,25127.1,14923.2,9369.1,6408.49,4577.09,3343.28,2252.68,2159.64,1980.98,1270.5,900.565,846.366,714.698,625.08,506.489,461.341,493.386,238.359
 37.2,0,0,7.12583,0,0,50883.2,26538,16416.7,10832,7394.21,4909.09,3964.02,3128.58,2515.5,1808.46,1724.46,1214.66,1176.1,664.842,965.802,667.634,617.587,473.993,329.19
 38.5,10.3457,0,0,10.1887,0,53141,30578.9,19690.5,12508.3,9050.5,6523.23,4259.95,3393.71,2489.17,2041.35,1891.41,1760.79,1295.81,1181.21,712.575,708.504,762.491,430.762,429.347
 40.0,0,9.45299,0,0,17211,57691.5,33662.9,20914.9,13780.7,10122.3,7319.87,5574.49,4596.36,3205.23,2530.99,2558.84,2083.62,1745.17,1337.01,1172.09,1063.27,715.595,645.84,628.619
 41.4,0,9.25767,0,0,73869.9,60826.1,35692,23866.9,15604,11552.6,8799.85,6700.86,5163.57,4428.47,2970.57,3037.94,2224.65,2129.73,1732.18,1212.89,1310.75,1227.44,845.412,827.958
 42.9,0,0,0,0,172589,63538.2,39999.1,25224.9,17849.9,13499.5,9718.9,8014.2,5668.84,4275.49,4451.75,3241.96,2647.1,2494.36,2103.94,1767.11,1580.54,1088.64,1223.44,980.488
 44.5,0,0,0,0,247729,67532.8,42571.8,27527.3,19778.6,14713.5,10733.3,8907.39,6794.34,6257.51,4900.63,3658.16,3205.6,3068.94,2553.53,1932.64,1716.69,1521.98,1410.21,1279.35
 46.1,0,0,0,0,317842,70062.2,45534,31572.9,21822.9,17074.9,11852.8,10298.7,8119.02,6387.72,5302.04,4255.08,3747.64,3360.01,2707.29,2487.55,2129.45,2003.66,1747,1252.39
