Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230418.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Date,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23,04/18/23
Start Time,16:09:00,16:12:00,16:15:01,16:18:00,16:21:01,16:24:00,16:27:01,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00,18:39:00,18:42:00,18:45:00,18:48:00,18:51:00,18:54:00,18:57:00,19:00:00,19:03:00,19:06:00,19:09:00,19:12:00,19:15:00,19:18:00,19:21:00,19:24:00,19:27:00,19:30:00,19:33:00,19:36:00,19:39:00,19:42:00,19:45:00,19:48:00
Diameter Midpoint
 16.3,0,0,9240.99,2351.23,1075.72,247.757,106.199,95.8172,35.4053,35.3845,0,0,0,0,34.9605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 16.8,0,0,9487.9,3488.07,948.309,452.855,343.166,164.767,155.058,33.0855,0,33.094,0,0,0,33.1026,33.1094,0,0,0,0,0,0,0,33.0923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,0,11083.9,3482.73,1240.06,537.229,267.85,258.068,102.911,93.052,62.0712,62.0499,93.1207,62.0347,31.0372,31.0326,31.0387,0,31.0159,0,0,0,31.0143,0,0,0,0,0,31.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.1,0,0,12373.9,3934.62,1387.65,911.862,436.856,213.041,116.511,9.15117,58.2584,38.273,29.1333,87.3385,87.3918,0,58.2639,29.1183,0,29.1087,0,0,0,0,0,0,0,29.1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.8,0,0,12498.8,4051.29,1848.56,922.918,510.032,305.239,280.258,128.349,109.626,100.98,109.641,54.7835,109.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 19.5,0,0,13318,4778.96,2035.52,1153.57,546.848,323.863,278.095,154.803,51.6274,25.806,51.634,25.8004,51.6295,103.246,0,0,0,0,25.8115,0,0,0,25.8049,0,0,0,0,25.8103,25.8026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 20.2,0,0,14755.8,5096.8,1942.58,1618.88,909.547,397.975,442.383,251.844,174.664,105.9,97.3705,77.2665,24.3406,97.3506,24.3416,24.3316,0,0,0,72.9892,24.3258,0,24.3317,0,0,0,0,0,0,48.6512,0,0,0,0,0,0,0,0,0,0,24.3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
