Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230508.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Date,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23,05/08/23
Start Time,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00
Diameter Midpoint
 16.3,139.401,0,0,0,0,5.18815e+006,96346.2,35054.2,15970.6,8180.82,4033.21,2089.77,1789.28,1012.3,279.908,314.402,153.484,174.886,139.494,69.9544,34.979,0,69.9911,0,0,139.982,48.5432,0,104.565,0,0,0,0,0,34.9919,0,0,0,0
 16.8,163.516,0,0,0,0,4.95424e+006,98847.4,35926.2,18827.2,8495.22,5137.6,2666.84,1819.25,1360.19,638.328,572.784,281.829,229.025,57.3348,90.0413,98.1583,90.0413,32.7342,32.7279,0,32.7342,20.049,0,0,0,0,0,65.4879,0,0,0,0,0,0
 17.5,122.686,0,0,0,0,4.24853e+006,100598,41430.5,19020.8,10049.5,5999.46,3173.27,1687.31,1225.13,693.736,724.324,310.15,214.791,225.702,130.346,153.43,68.9769,30.6991,61.3868,30.7021,3.26139,30.6934,30.7021,0,30.7109,0,30.7035,0,0,0,0,0,0,0
 18.1,115.197,0,0,0,0,3.01044e+006,102464,41332.4,21690.6,11404.9,6348.39,3771.36,2678.34,1445.69,900.373,685.59,528.562,144.055,285.101,112.336,128.201,28.811,28.8241,28.819,28.8268,125.192,0,0,0,0,0,0,28.832,0,0,0,0,0,0
 18.8,183.825,0,0,0,0,2.18761e+006,103174,45010.6,23267.9,13345.7,7791.9,4575.13,3049.05,1867.94,1274.74,922.342,470.059,470.338,244.098,301.028,274.263,129.662,54.2583,81.3734,27.1315,14.9336,54.249,21.2038,0,27.1386,54.2559,0,0,0,54.2536,0,27.1161,0,0
 19.5,184.367,0,0,0,0,1.71619e+006,103451,46270.5,24997.4,13918.9,8746.52,5029.13,3037.99,2070.82,1568.37,871.187,754.441,788.462,383.321,309.206,167.074,84.8336,76.6833,130.385,56.3286,79.2842,153.341,31.1483,51.1307,51.1392,25.5601,25.5643,51.1349,25.5569,0,0,51.0989,0,25.5653
 20.2,72.2738,0,0,0,0,1.31645e+006,105813,47907,27726.5,15885.1,9674.23,6088.68,3260.01,2631.51,1950.78,1124.13,938.174,559.267,467.846,286.746,214.455,248.421,130.426,118.075,187.984,166.312,33.9829,0,96.4527,48.234,58.0954,82.2168,48.2302,0,0,0,24.0989,0,9.88052
 20.9,45.1666,0,0,0,0,899148,103156,50110.1,28171.3,16546.5,9478.01,6746.55,4152.78,2882.17,1666.51,1548.05,841.988,769.885,288.981,386.348,421.72,198.645,297.14,310.403,174.351,27.6485,61.3244,68.3127,6.47705,56.5034,68.8316,95.3632,56.5102,12.0733,13.1937,15.7954,39.3134,15.3423,6.17936
 21.7,21.3412,0,0,0,0,630712,102835,49999.5,30070.6,17894.6,11776.6,6977.84,5463.08,3079.26,2207.83,2100.11,1192.95,810.019,781.184,744.982,339.128,256.725,240.317,394.822,226.976,290.331,122.291,46.8586,23.525,24.7333,68.0511,91.1783,29.1671,0,33.0083,0,7.40607,33.5658,8.92745
 22.5,20.2077,0,0,0,0,459987,104251,53863.5,31105.5,18821.9,12352,8191.72,5361.48,3636.2,2582.99,2119.97,1759.36,1098.5,1042.15,852.396,576.726,401.561,553.183,316.058,161.964,167.541,103.096,160.709,195.025,58.8458,52.7305,140.518,43.2793,21.462,147.723,48.1111,30.9766,27.5848,9.44399
 23.3,0,0,0,0,0,291728,104405,52633.4,33031.4,21338.6,14138,9346.02,6517.49,4424.04,3378.54,2427.73,1975.61,1614.48,1267.19,881.683,511.456,464.25,422.922,250.548,334.616,259.179,184.566,193.894,142.631,126.635,137.907,143.184,119.59,148.894,55.9362,57.6945,98.0109,37.8589,0.80723
