Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230606.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23,06/06/23
Start Time,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00
Diameter Midpoint
 16.3,0,0,24.1226,97392.7,30688.1,11401.8,5984.63,2751.69,1447.61,874.135,670.361,459.209,248.846,241.863,62.2116,93.3174,31.1058,62.2116,0,86.3342,31.1058,30.7115,62.2116,31.1058,62.2116,31.1058,62.2116,0
 16.8,0,29.2112,6.55785,105821,34959.8,14852.7,7493.13,4008.49,1971.73,860.944,495.831,532.359,350.534,314.007,175.267,58.4224,116.845,58.4224,29.2112,6.55785,58.4224,29.2112,0,44.548,0,0,29.2112,0
 17.5,27.499,0,0,113934,39422.8,16922.1,8998.55,4148.91,2927.86,1497.81,1264.86,681.486,454.324,205.554,214.004,199.663,192.493,54.998,62.1682,54.998,82.4969,27.499,0,47.7303,82.4969,54.998,0,27.499
 18.1,0,25.913,0,129115,45810.5,20249.9,10812,6115.25,3814.19,1915.52,1254.37,937.583,736.572,595.071,393.874,200.083,103.652,129.101,251.445,51.826,25.913,25.913,51.826,70.9823,77.739,51.3619,25.913,25.913
 18.8,48.5861,24.2931,0,139089,50410,23825.7,11783.1,7324.49,4150.71,2857.09,1445.78,1314.29,1056.66,778.248,714.093,267.659,341.694,187.212,98.0424,48.5861,186.777,72.8792,48.5861,97.1723,72.8792,41.4539,24.2931,48.5861
 19.5,22.9342,0,0,152165,59328,29016.5,14850.6,8926.77,5335.29,3339.21,2140.13,1959.77,973.657,943.469,335.366,582.055,250.774,368.558,160.539,114.671,61.7132,31.6351,123.372,91.7367,91.7367,167.683,45.8683,54.5692
 20.2,21.6705,0,21.6705,163241,66701.4,33763.6,18745.3,11379.9,6984.57,4302.26,3134,2144.73,1391.49,911.861,801.81,966.953,457.427,356.648,436.93,327.404,252.998,165.143,144.645,66.1846,173.364,108.353,108.353,78.4607
