Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230606_comparison_nodryer.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2
Date,06/06/23,06/06/23
Start Time,13:01:00,13:04:00
Diameter Midpoint
 16.3,0,0
 16.8,29.2112,0
 17.5,0,0
 18.1,25.913,0
 18.8,24.2931,24.2931
 19.5,0,0
 20.2,65.0116,43.3411
 20.9,78.0116,18.8235
 21.7,93.124,162.966
 22.5,88.3335,124.007
 23.3,199.764,175.198
 24.1,312.176,199.657
 25.0,413.456,280.907
 25.9,446.917,418.516
 26.9,498.539,454.046
 27.9,864.956,820.918
 28.9,1247.27,1045.32
 30.0,1493.59,1308.82
 31.1,1991.21,1664.46
 32.2,2459.83,2113.03
 33.4,2430.94,2837.76
 34.6,3672.15,3371.28
 35.9,4551.51,4259.58
 37.2,6036.02,5193.93
 38.5,6877.36,6723.62
 40.0,9085.05,8035.97
 41.4,10929.1,9898.39
 42.9,11671.9,11284
 44.5,14093.6,14051.2
 46.1,17475.8,16779.7
 47.8,20336.5,19257.1
 49.6,24446.2,22425.2
 51.4,28708.5,26516.1
 53.3,32333.6,29249.9
 55.2,37180.1,35094.6
 57.3,41654,40111.7
 59.4,49099.8,43859.3
 61.5,54334.6,49558.8
 63.8,59900,58453.9
 66.1,66020.1,63688.8
 68.5,74424.8,71370.8
 71.0,79692.7,75922.8
 73.7,83684.9,78525.8
 76.4,91132.1,85990
 79.1,98305.8,91469.9
 82.0,104240,99827.2
 85.1,111669,105689
 88.2,119564,116623
 91.4,124016,119283
 94.7,130789,124906
 98.2,139200,127887
101.8,142591,134170
105.5,146838,139115
109.4,151039,141250
113.4,154050,142380
117.6,154664,143398
121.9,153556,146268
126.3,155497,143466
131.0,148263,141054
135.8,147435,139657
140.7,144389,138545
145.9,140051,132391
151.2,132010,127319
156.8,126217,118556
162.5,118847,113767
168.5,111777,105588
174.7,103785,99646.2
181.1,94324,90355.7
187.7,86881.3,82228.3
194.6,77023.2,74565.5
201.7,69119.5,65569.2
209.1,60870.8,57551.3
216.7,52309.2,50754.6
224.7,46149.5,44129.5
232.9,39005.1,37419.9
241.4,33270.9,31928.9
250.3,27923.1,27712.1
259.5,23498.6,22953.6
269.0,19254.1,18967.4
278.8,16127.5,15319.2
289.0,13276.8,12270.6
299.6,10500.4,9944.08
310.6,8346.13,7982.26
322.0,6835.52,6714.6
333.8,5600.86,4929.03
346.0,4390.92,4189.78
358.7,3351.91,3432.39
371.8,2377.75,2397.31
385.4,1819.76,2104.37
399.5,1337.49,1498.02
414.2,1141.65,1115.72
429.4,804.931,816.748
445.1,710.206,538.805
461.4,462.171,488.38
478.3,317.398,295.879
495.8,253.915,264.095
514.0,179.633,169.424
532.8,149.123,116.599
552.3,119.922,82.2547
572.5,51.5652,60.017
593.5,60.0619,68.6421
615.3,0,0
637.8,0,0
661.2,0,0
685.4,0,0
710.5,0,0
Scan Up Time(s),155,155
Retrace Time(s),10,10
Down Scan First,FALSE,FALSE
Scans Per Sample,1,1
Impactor Type(cm),0.071,0.071
Sheath Flow(lpm),3,3
Aerosol Flow(lpm),1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5
CPC Sample Flow(lpm),0.3,0.3
Low Voltage,14.0228,14.0228
High Voltage,9507.79,9507.79
Lower Size(nm),15.9634,15.9634
Upper Size(nm),723.394,723.394
Density(g/cc),1,1
Title,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286
tf(s),5.51527,5.51527
D50(nm),593.091,593.091
Median(nm),116.618,116.894
Mean(nm),125.828,126.171
Geo. Mean(nm),115.026,115.315
Mode(nm),126.346,121.881
Geo. Std. Dev.,1.53415,1.5347
Total Concentration(#/cm³),71980.3,68164.1
Comment,,
