Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Date,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023
Start Time,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00,16:59:00,17:02:00,17:05:00,17:08:00,17:11:00,17:14:00,17:17:00,17:20:00,17:23:00,17:26:00,17:29:00,17:32:00,17:35:00,17:38:00,17:41:00,17:44:00,17:47:00,17:50:00,17:53:00
Sample Temp (C),21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.7,21.7,21.7,21.7,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.7,21.8,21.7,21.7,21.8,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.8,21.8,21.8,21.8,21.9,22.0,22.1,22.2,22.3,22.4,22.4,22.4,22.4,22.4,22.3,22.3
Sample Pressure (kPa),81.0,81.0,81.0,81.3,81.3,81.2,81.2,81.2,81.1,81.1,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.7,80.6,80.6,80.6,80.6,80.7,80.7,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.5,80.5,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6
Relative Humidity (%),16.6,15.4,14.5,13.8,13.1,12.6,12.1,11.7,11.4,11.1,10.9,10.6,10.4,10.3,10.1,10.0,9.9,9.8,9.7,9.6,9.5,9.5,9.4,9.4,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1,9.0,9.0,9.0,9.0,9.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.6,8.6,8.6
Mean Free Path (m),8.36969e-008,8.36969e-008,8.36969e-008,8.33880e-008,8.33880e-008,8.34907e-008,8.34907e-008,8.34547e-008,8.35576e-008,8.35576e-008,8.36608e-008,8.36608e-008,8.37642e-008,8.37642e-008,8.37642e-008,8.38678e-008,8.38678e-008,8.38678e-008,8.40080e-008,8.40080e-008,8.40080e-008,8.40080e-008,8.40443e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.40443e-008,8.40443e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41122e-008,8.41485e-008,8.41122e-008,8.41122e-008,8.41485e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.42167e-008,8.42167e-008,8.41122e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41848e-008,8.42211e-008,8.42575e-008,8.42938e-008,8.43301e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43301e-008,8.43301e-008
Gas Viscosity (Pa*s),1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82624e-005,1.82672e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 15.7,18.563,0.000,18.512,37961.719,11315.927,6363.956,4446.148,3396.254,2977.011,2703.649,2959.707,2071.645,2012.956,2475.703,2121.502,2163.812,1733.675,1853.165,1976.868,1765.511,1531.171,1668.425,1674.047,1568.012,1394.917,1622.187,1130.605,1237.565,1187.043,1404.974,1450.119,1319.144,1033.004,1227.364,1012.307,974.141,897.294,935.575,656.809,774.663,847.452,780.818,745.479,716.585,804.182,798.650,647.200,754.424,673.363,729.801,524.444,517.313,463.946,505.376,477.304,474.902,582.361,407.980,339.244,311.666,466.927,355.650,287.931,322.381,190.571
 16.3,0.000,17.253,17.206,37130.023,11549.251,4162.783,2774.804,2403.805,1350.981,1657.356,1435.625,1368.614,1260.161,1060.526,1295.824,1311.543,990.990,1013.445,1241.254,1033.538,1003.056,973.205,849.667,888.075,876.568,749.900,661.321,658.433,550.705,682.734,536.790,681.486,629.358,692.775,622.774,462.343,490.108,468.696,533.717,757.100,438.443,440.111,347.974,404.016,437.020,518.517,365.500,380.199,477.560,352.994,329.474,303.112,285.518,370.782,204.529,279.987,291.520,201.681,125.718,212.672,245.951,190.289,223.045,89.201,211.337
 16.8,0.000,0.000,16.019,41293.855,11651.712,4398.931,2119.059,1391.623,1008.412,932.677,749.651,613.801,593.373,647.850,588.552,493.456,468.848,553.244,627.448,335.128,386.830,469.841,418.090,456.730,370.727,307.026,401.246,518.290,245.802,282.018,390.619,350.438,288.827,322.035,274.410,290.906,330.337,278.144,318.511,321.099,231.598,270.241,316.203,211.055,211.821,200.256,145.966,240.509,185.855,110.925,245.520,192.819,269.007,136.579,169.486,115.199,87.264,94.293,168.847,104.668,52.270,52.335,31.363,52.134,62.412
 17.5,0.000,0.000,44.905,42557.014,10785.898,4370.904,1877.539,1281.084,745.750,506.971,403.213,486.875,175.357,372.583,290.043,266.371,225.080,296.298,263.410,274.274,246.583,247.899,209.833,288.496,191.594,221.308,204.120,151.918,142.658,234.220,166.074,149.437,165.791,140.971,100.714,161.699,169.943,99.865,109.566,134.900,79.020,137.792,108.781,89.108,89.431,148.337,96.153,117.747,59.335,128.896,129.827,100.783,89.340,108.436,67.207,29.479,49.085,58.985,68.830,49.105,58.857,78.572,29.429,68.490,19.522
 18.1,0.000,0.000,28.051,45216.891,13299.011,5140.354,2243.006,879.195,658.445,415.464,164.263,159.934,241.451,212.052,104.775,41.227,110.790,89.513,118.840,137.104,106.669,86.956,67.152,108.017,113.797,104.064,75.387,142.861,67.071,47.529,75.591,74.963,61.141,75.757,113.659,28.512,84.618,46.965,56.212,37.297,65.041,18.516,74.419,93.133,65.425,55.814,54.488,55.383,74.418,55.956,28.179,46.543,9.337,37.092,9.253,27.733,27.706,27.744,0.000,9.238,9.228,0.000,18.455,27.614,9.183
 18.8,0.000,0.000,26.347,47595.737,14184.196,5034.920,2532.415,1129.303,569.212,240.206,187.609,95.395,171.789,89.821,49.318,19.409,113.840,46.847,55.976,83.043,63.964,27.314,72.329,44.691,26.815,26.751,0.000,26.929,18.060,44.797,44.532,8.833,35.583,26.777,17.855,44.789,17.726,53.124,17.663,8.791,43.798,26.188,26.310,17.560,17.623,26.309,8.565,26.110,43.851,25.610,26.563,61.760,17.605,34.971,34.896,0.000,17.415,0.000,0.000,17.421,8.700,26.131,0.000,8.678,8.659
 19.5,0.000,0.000,37.215,51067.005,15085.475,6096.863,2941.890,1495.513,774.024,431.180,260.135,183.687,81.508,56.500,37.233,27.481,80.609,0.000,52.859,34.856,60.417,34.400,34.163,25.160,33.546,25.100,25.452,25.441,34.121,16.928,8.357,24.863,33.386,33.499,16.753,0.000,8.315,16.615,0.000,16.494,0.000,16.379,8.228,0.000,24.801,0.000,0.000,9.964,24.683,0.719,0.000,8.279,16.517,8.202,0.000,8.177,0.000,0.000,16.364,8.172,0.000,0.000,0.000,0.000,8.124
