Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230124_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Date,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023,1/24/2023
Start Time,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00,16:59:00,17:02:00,17:05:00,17:08:00,17:11:00,17:14:00,17:17:00,17:20:00,17:23:00,17:26:00,17:29:00,17:32:00,17:35:00,17:38:00,17:41:00,17:44:00,17:47:00,17:50:00,17:53:00
Sample Temp (C),21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.7,21.7,21.7,21.7,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.7,21.8,21.7,21.7,21.8,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.8,21.8,21.8,21.8,21.9,22.0,22.1,22.2,22.3,22.4,22.4,22.4,22.4,22.4,22.3,22.3
Sample Pressure (kPa),81.0,81.0,81.0,81.3,81.3,81.2,81.2,81.2,81.1,81.1,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.7,80.6,80.6,80.6,80.6,80.7,80.7,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.5,80.5,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6
Relative Humidity (%),16.6,15.4,14.5,13.8,13.1,12.6,12.1,11.7,11.4,11.1,10.9,10.6,10.4,10.3,10.1,10.0,9.9,9.8,9.7,9.6,9.5,9.5,9.4,9.4,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1,9.0,9.0,9.0,9.0,9.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.6,8.6,8.6
Mean Free Path (m),8.36969e-008,8.36969e-008,8.36969e-008,8.33880e-008,8.33880e-008,8.34907e-008,8.34907e-008,8.34547e-008,8.35576e-008,8.35576e-008,8.36608e-008,8.36608e-008,8.37642e-008,8.37642e-008,8.37642e-008,8.38678e-008,8.38678e-008,8.38678e-008,8.40080e-008,8.40080e-008,8.40080e-008,8.40080e-008,8.40443e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.40443e-008,8.40443e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41122e-008,8.41485e-008,8.41122e-008,8.41122e-008,8.41485e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.41122e-008,8.42167e-008,8.42167e-008,8.41122e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41485e-008,8.41848e-008,8.42211e-008,8.42575e-008,8.42938e-008,8.43301e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43664e-008,8.43301e-008,8.43301e-008
Gas Viscosity (Pa*s),1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82624e-005,1.82672e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 15.7,0.290,0.000,0.289,593.152,176.811,99.437,69.471,53.066,46.516,42.245,46.245,32.369,31.452,38.683,33.148,33.810,27.089,28.956,30.889,27.586,23.925,26.069,26.157,24.500,21.796,25.347,17.666,19.337,18.548,21.953,22.658,20.612,16.141,19.178,15.817,15.221,14.020,14.618,10.263,12.104,13.241,12.200,11.648,11.197,12.565,12.479,10.113,11.788,10.521,11.403,8.194,8.083,7.249,7.896,7.458,7.420,9.099,6.375,5.301,4.870,7.296,5.557,4.499,5.037,2.978
 16.3,0.000,0.270,0.269,580.157,180.457,65.043,43.356,37.559,21.109,25.896,22.432,21.385,19.690,16.571,20.247,20.493,15.484,15.835,19.395,16.149,15.673,15.206,13.276,13.876,13.696,11.717,10.333,10.288,8.605,10.668,8.387,10.648,9.834,10.825,9.731,7.224,7.658,7.323,8.339,11.830,6.851,6.877,5.437,6.313,6.828,8.102,5.711,5.941,7.462,5.516,5.148,4.736,4.461,5.793,3.196,4.375,4.555,3.151,1.964,3.323,3.843,2.973,3.485,1.394,3.302
 16.8,0.000,0.000,0.250,645.216,182.058,68.733,33.110,21.744,15.756,14.573,11.713,9.591,9.271,10.123,9.196,7.710,7.326,8.644,9.804,5.236,6.044,7.341,6.533,7.136,5.793,4.797,6.269,8.098,3.841,4.407,6.103,5.476,4.513,5.032,4.288,4.545,5.162,4.346,4.977,5.017,3.619,4.223,4.941,3.298,3.310,3.129,2.281,3.758,2.904,1.733,3.836,3.013,4.203,2.134,2.648,1.800,1.364,1.473,2.638,1.635,0.817,0.818,0.490,0.815,0.975
 17.5,0.000,0.000,0.702,664.953,168.530,68.295,29.337,20.017,11.652,7.921,6.300,7.607,2.740,5.822,4.532,4.162,3.517,4.630,4.116,4.286,3.853,3.873,3.279,4.508,2.994,3.458,3.189,2.374,2.229,3.660,2.595,2.335,2.590,2.203,1.574,2.527,2.655,1.560,1.712,2.108,1.235,2.153,1.700,1.392,1.397,2.318,1.502,1.840,0.927,2.014,2.029,1.575,1.396,1.694,1.050,0.461,0.767,0.922,1.075,0.767,0.920,1.228,0.460,1.070,0.305
 18.1,0.000,0.000,0.438,706.514,207.797,80.318,35.047,13.737,10.288,6.492,2.567,2.499,3.773,3.313,1.637,0.644,1.731,1.399,1.857,2.142,1.667,1.359,1.049,1.688,1.778,1.626,1.178,2.232,1.048,0.743,1.181,1.171,0.955,1.184,1.776,0.445,1.322,0.734,0.878,0.583,1.016,0.289,1.163,1.455,1.022,0.872,0.851,0.865,1.163,0.874,0.440,0.727,0.146,0.580,0.145,0.433,0.433,0.433,0.000,0.144,0.144,0.000,0.288,0.431,0.143
 18.8,0.000,0.000,0.412,743.683,221.628,78.671,39.569,17.645,8.894,3.753,2.931,1.491,2.684,1.403,0.771,0.303,1.779,0.732,0.875,1.298,0.999,0.427,1.130,0.698,0.419,0.418,0.000,0.421,0.282,0.700,0.696,0.138,0.556,0.418,0.279,0.700,0.277,0.830,0.276,0.137,0.684,0.409,0.411,0.274,0.275,0.411,0.134,0.408,0.685,0.400,0.415,0.965,0.275,0.546,0.545,0.000,0.272,0.000,0.000,0.272,0.136,0.408,0.000,0.136,0.135
 19.5,0.000,0.000,0.581,797.922,235.711,95.263,45.967,23.367,12.094,6.737,4.065,2.870,1.274,0.883,0.582,0.429,1.260,0.000,0.826,0.545,0.944,0.537,0.534,0.393,0.524,0.392,0.398,0.398,0.533,0.265,0.131,0.388,0.522,0.523,0.262,0.000,0.130,0.260,0.000,0.258,0.000,0.256,0.129,0.000,0.388,0.000,0.000,0.156,0.386,0.011,0.000,0.129,0.258,0.128,0.000,0.128,0.000,0.000,0.256,0.128,0.000,0.000,0.000,0.000,0.127
 20.2,0.000,0.000,0.000,844.725,276.446,116.711,52.718,26.835,13.520,7.187,3.290,3.137,1.633,1.004,1.043,0.618,0.393,0.259,0.000,0.255,0.379,0.378,0.375,0.371,0.371,0.123,0.124,0.124,0.125,0.248,0.123,0.733,0.123,0.000,0.123,0.124,0.123,0.245,0.244,0.122,0.000,0.121,0.121,0.121,0.244,0.000,0.474,0.094,0.121,0.122,0.000,0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240
