Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230126_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Date,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023
Start Time,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00,13:10:00,13:13:00,13:16:00,13:19:00,13:22:00,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:01,14:01:01,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00
Sample Temp (C),22.2,22.2,22.2,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.4,22.5,22.5,22.5,22.5,22.5,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.2,22.2,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.8,21.8,21.8,21.8
Sample Pressure (kPa),80.3,80.3,80.3,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.4,80.3,80.2,80.0,80.0,79.9,79.8,79.9,79.6,79.8,79.8,79.7,79.7,79.7,79.6,79.8,79.8,79.8,79.7,79.7,79.5,79.6,79.5,79.5,79.4,79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.2,79.3,79.2,79.2,79.1,79.1,79.0,79.0,79.0,79.0,79.0,78.9,78.9,78.8,78.8,78.8,78.8,78.7,78.7,78.6,78.6,78.7,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.6,78.5
Relative Humidity (%),8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.9,7.9,7.9,7.9,8.0,7.9,7.9,8.0,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Mean Free Path (m),8.46087e-008,8.46087e-008,8.46087e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.48236e-008,8.45762e-008,8.47180e-008,8.48236e-008,8.50357e-008,8.50357e-008,8.51421e-008,8.52855e-008,8.51788e-008,8.54998e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.53925e-008,8.53925e-008,8.54998e-008,8.52488e-008,8.52488e-008,8.52488e-008,8.53558e-008,8.53191e-008,8.55337e-008,8.54262e-008,8.55337e-008,8.55337e-008,8.56414e-008,8.56414e-008,8.56414e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.57125e-008,8.57125e-008,8.57838e-008,8.56756e-008,8.57838e-008,8.57838e-008,8.58922e-008,8.58553e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.60729e-008,8.60729e-008,8.61450e-008,8.61450e-008,8.61450e-008,8.61450e-008,8.62544e-008,8.62544e-008,8.63642e-008,8.63270e-008,8.62173e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.63997e-008,8.63997e-008,8.62897e-008,8.63997e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005
Diameter Midpoint (nm)
 15.7,10.636,0.000,0.000,10.644,0.000,21.290,797.291,248.669,234.237,233.694,194.911,191.648,301.926,61238.418,6647.699,23689.361,5924.556,3332.768,2408.419,2270.796,2027.470,2049.350,1826.226,1684.727,1852.987,1557.238,1470.721,1619.784,1567.603,1504.088,1606.541,1542.544,1504.017,1433.355,1480.220,1393.392,1286.569,1361.140,1323.351,1018.030,1309.272,1048.151,867.358,1135.565,931.352,1076.319,1038.145,891.784,972.779,817.451,948.904,746.876,793.395,699.831,700.946,667.016,719.579,794.658,576.945,571.477,508.768,540.088,537.399,599.316,515.240,464.329,396.955,474.023,305.097,413.917,362.172,418.551,315.350,375.688,340.516,238.897,362.312,297.815,347.581,280.408,275.261,282.694,268.867,235.690,186.099,257.215,351.106
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,683.195,195.522,235.163,274.997,285.217,169.279,215.516,57586.199,6959.985,22684.091,4644.386,2039.619,1315.514,1049.166,1099.756,810.189,1073.951,955.360,852.215,1039.700,975.545,886.099,910.528,879.761,809.177,803.132,826.122,766.129,938.223,756.136,785.537,615.932,755.357,729.246,575.986,732.011,700.707,716.205,657.848,501.686,520.302,533.687,456.355,516.354,506.011,542.745,545.485,453.312,449.308,435.587,410.483,419.043,431.650,534.965,392.088,334.328,371.247,270.490,361.001,278.971,262.478,297.962,356.429,286.297,340.121,212.319,259.124,209.931,203.626,271.591,215.284,187.507,208.170,180.560,215.616,249.804,210.760,139.819,124.978,166.959,152.998
