Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230126_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Date,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023,1/26/2023
Start Time,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00,13:10:00,13:13:00,13:16:00,13:19:00,13:22:00,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:01,14:01:01,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00
Sample Temp (C),22.2,22.2,22.2,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.4,22.5,22.5,22.5,22.5,22.5,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.2,22.2,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.8,21.8,21.8,21.8
Sample Pressure (kPa),80.3,80.3,80.3,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.4,80.3,80.2,80.0,80.0,79.9,79.8,79.9,79.6,79.8,79.8,79.7,79.7,79.7,79.6,79.8,79.8,79.8,79.7,79.7,79.5,79.6,79.5,79.5,79.4,79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.2,79.3,79.2,79.2,79.1,79.1,79.0,79.0,79.0,79.0,79.0,78.9,78.9,78.8,78.8,78.8,78.8,78.7,78.7,78.6,78.6,78.7,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.6,78.5
Relative Humidity (%),8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.9,7.9,7.9,7.9,8.0,7.9,7.9,8.0,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Mean Free Path (m),8.46087e-008,8.46087e-008,8.46087e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.48236e-008,8.45762e-008,8.47180e-008,8.48236e-008,8.50357e-008,8.50357e-008,8.51421e-008,8.52855e-008,8.51788e-008,8.54998e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.53925e-008,8.53925e-008,8.54998e-008,8.52488e-008,8.52488e-008,8.52488e-008,8.53558e-008,8.53191e-008,8.55337e-008,8.54262e-008,8.55337e-008,8.55337e-008,8.56414e-008,8.56414e-008,8.56414e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.57125e-008,8.57125e-008,8.57838e-008,8.56756e-008,8.57838e-008,8.57838e-008,8.58922e-008,8.58553e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.59639e-008,8.60729e-008,8.60729e-008,8.61450e-008,8.61450e-008,8.61450e-008,8.61450e-008,8.62544e-008,8.62544e-008,8.63642e-008,8.63270e-008,8.62173e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.63270e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.64369e-008,8.63997e-008,8.63997e-008,8.62897e-008,8.63997e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82672e-005,1.82672e-005,1.82672e-005,1.82672e-005
Diameter Midpoint (nm)
 15.7,0.166,0.000,0.000,0.166,0.000,0.333,12.458,3.885,3.660,3.651,3.045,2.994,4.718,956.850,103.870,370.146,92.571,52.075,37.632,35.481,31.679,32.021,28.535,26.324,28.953,24.332,22.980,25.309,24.494,23.501,25.102,24.102,23.500,22.396,23.128,21.772,20.103,21.268,20.677,15.907,20.457,16.377,13.552,17.743,14.552,16.817,16.221,13.934,15.200,12.773,14.827,11.670,12.397,10.935,10.952,10.422,11.243,12.417,9.015,8.929,7.949,8.439,8.397,9.364,8.051,7.255,6.202,7.407,4.767,6.467,5.659,6.540,4.927,5.870,5.321,3.733,5.661,4.653,5.431,4.381,4.301,4.417,4.201,3.683,2.908,4.019,5.486
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,10.675,3.055,3.674,4.297,4.457,2.645,3.367,899.784,108.750,354.439,72.569,31.869,20.555,16.393,17.184,12.659,16.780,14.928,13.316,16.245,15.243,13.845,14.227,13.746,12.643,12.549,12.908,11.971,14.660,11.815,12.274,9.624,11.802,11.394,9.000,11.438,10.949,11.191,10.279,7.839,8.130,8.339,7.131,8.068,7.906,8.480,8.523,7.083,7.020,6.806,6.414,6.548,6.745,8.359,6.126,5.224,5.801,4.226,5.641,4.359,4.101,4.656,5.569,4.473,5.314,3.317,4.049,3.280,3.182,4.244,3.364,2.930,3.253,2.821,3.369,3.903,3.293,2.185,1.953,2.609,2.391
