Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230202_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023
Start Time,09:39:00,09:42:00,09:45:00,09:48:00,09:51:00,09:54:00,09:57:00,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00
Sample Temp (C),21.4,21.5,21.6,21.6,21.7,21.8,21.8,21.9,22.0,22.0,22.0,22.0,22.0,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.0,22.0,22.0
Sample Pressure (kPa),80.8,80.8,80.8,80.8,80.9,80.9,80.9,80.8,80.8,80.8,80.8,80.8,80.8,80.7,80.7,80.7,80.6,80.6,80.6,80.5,80.5,80.5,80.6,80.6,80.6,80.6
Relative Humidity (%),17.4,18.9,20.1,20.9,21.4,21.8,22.0,22.0,22.0,21.8,21.6,21.4,21.2,20.9,20.6,20.3,20.0,19.7,19.4,19.1,18.8,18.5,18.2,17.9,17.6,17.4
Mean Free Path (m),8.37954e-008,8.38316e-008,8.38678e-008,8.38678e-008,8.38003e-008,8.38365e-008,8.38365e-008,8.39765e-008,8.40127e-008,8.40127e-008,8.40127e-008,8.40127e-008,8.40127e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.42575e-008,8.42575e-008,8.42575e-008,8.43621e-008,8.43621e-008,8.43621e-008,8.42575e-008,8.42211e-008,8.42211e-008,8.42211e-008
Gas Viscosity (Pa*s),1.82480e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005
Diameter Midpoint (nm)
 15.7,1.349,1.281,1.527,0.851,1024.250,240.709,72.471,26.771,19.451,14.887,9.466,8.111,6.316,8.634,8.481,7.246,7.243,7.345,6.846,9.226,6.173,7.452,6.801,7.391,7.714,7.518
 16.3,2.365,1.581,1.164,0.796,1064.431,269.034,82.611,28.796,13.253,8.916,5.770,2.977,3.887,2.441,3.945,3.471,2.423,2.678,3.499,4.098,2.486,2.493,3.156,2.553,3.436,3.742
